timeStamp,CPU_Usage,Memory_Usage
2026-02-05 10:49:30.777540,1.3,84.8
2026-02-05 10:49:31.792128,6.0,84.8
2026-02-05 10:49:32.800593,4.1,84.8
2026-02-05 10:49:33.812465,21.5,84.7
2026-02-05 10:49:34.815579,34.6,84.9
2026-02-05 10:49:35.818715,12.2,84.9
2026-02-05 10:49:36.830098,18.2,84.9
2026-02-05 10:49:37.833509,17.5,84.9
2026-02-05 10:49:38.841722,4.3,84.9
2026-02-05 10:49:39.846116,8.5,84.9
2026-02-05 10:49:40.855560,0.5,84.7
2026-02-05 10:49:41.861580,5.9,84.7
2026-02-05 10:49:42.876070,10.3,84.8
2026-02-05 10:49:43.892327,14.9,84.8
2026-02-05 10:49:44.907651,10.9,84.8
2026-02-05 10:49:45.914220,8.1,84.0
2026-02-05 10:49:46.924220,5.0,84.0
2026-02-05 10:49:47.928574,1.3,84.0
2026-02-05 10:49:48.937953,4.3,83.9
2026-02-05 10:49:49.947107,2.8,84.0
2026-02-05 10:49:50.953380,3.6,83.9
2026-02-05 10:49:51.966219,13.3,84.5
2026-02-05 10:49:52.982141,19.5,84.7
2026-02-05 10:49:53.984708,13.9,84.8
2026-02-05 10:49:54.991708,15.9,84.9
2026-02-05 10:49:55.998738,12.7,84.8
2026-02-05 10:49:57.014207,12.5,84.8
2026-02-05 10:49:58.019229,11.1,84.8
2026-02-05 10:49:59.036087,9.7,84.8
2026-02-05 10:50:00.042294,6.0,84.8
2026-02-05 10:50:01.045207,18.2,85.3
2026-02-05 10:50:02.052562,13.4,85.3
2026-02-05 10:50:03.061743,5.0,85.5
2026-02-05 10:50:04.067948,5.4,85.4
2026-02-05 10:50:05.072008,2.2,85.4
2026-02-05 10:50:06.082329,8.0,85.4
2026-02-05 10:50:07.088833,24.7,83.2
2026-02-05 10:50:08.090750,4.9,83.2
2026-02-05 10:50:09.091122,2.6,83.1
2026-02-05 10:50:10.100993,5.6,83.2
2026-02-05 10:50:11.110121,8.8,82.5
2026-02-05 10:50:12.112981,16.1,82.1
2026-02-05 10:50:13.124249,12.3,82.2
2026-02-05 10:50:14.127836,7.0,82.2
2026-02-05 10:50:15.131505,5.8,82.2
2026-02-05 10:50:16.145084,5.6,82.1
2026-02-05 10:50:17.157109,5.7,82.1
2026-02-05 10:50:18.166960,11.4,82.0
2026-02-05 10:50:19.183366,3.6,82.1
2026-02-05 10:50:20.188436,10.0,82.0
2026-02-05 10:50:21.192690,8.6,81.9
2026-02-05 10:50:22.207849,2.9,81.9
2026-02-05 10:50:23.223071,1.8,81.9
2026-02-05 10:50:24.229861,5.5,82.0
2026-02-05 10:50:25.247144,20.2,82.6
2026-02-05 10:50:26.248770,15.6,83.0
2026-02-05 10:50:27.253349,17.6,83.1
2026-02-05 10:50:28.255929,16.2,82.8
2026-02-05 10:50:29.262633,14.4,82.7
2026-02-05 10:50:30.268634,12.3,82.7
2026-02-05 10:50:31.278775,8.9,82.8
2026-02-05 10:50:32.281970,16.1,82.7
2026-02-05 10:50:33.296389,18.9,82.5
2026-02-05 10:50:34.301214,13.5,82.5
2026-02-05 10:50:35.309327,1.0,82.4
2026-02-05 10:50:36.317776,4.3,82.4
2026-02-05 10:50:37.326804,2.3,82.4
2026-02-05 10:50:38.330446,14.7,82.3
2026-02-05 10:50:39.336780,0.4,82.3
2026-02-05 10:50:40.346529,2.3,82.3
2026-02-05 10:50:41.354994,8.7,81.0
2026-02-05 10:50:42.362794,8.1,81.0
2026-02-05 10:50:43.368848,1.0,81.0
2026-02-05 10:50:44.375582,1.7,80.9
2026-02-05 10:50:45.377485,3.6,81.0
2026-02-05 10:50:46.381635,7.0,81.1
2026-02-05 10:50:47.383180,2.5,81.1
2026-02-05 10:50:48.393357,3.9,81.0
2026-02-05 10:50:49.400199,3.5,81.1
2026-02-05 10:50:50.409887,5.0,81.1
2026-02-05 10:50:51.415984,5.8,81.1
2026-02-05 10:50:52.423011,8.4,81.0
2026-02-05 10:50:53.438079,11.1,81.0
2026-02-05 10:50:54.441039,12.2,81.0
2026-02-05 10:50:55.448568,0.5,81.0
2026-02-05 10:50:56.455663,4.4,81.1
2026-02-05 10:50:57.466951,4.7,81.1
2026-02-05 10:50:58.474462,4.9,81.1
2026-02-05 10:50:59.483245,16.9,83.6
2026-02-05 10:51:00.487653,14.0,83.1
2026-02-05 10:51:01.494824,10.2,83.2
2026-02-05 10:51:02.498850,5.6,83.2
2026-02-05 10:51:03.504973,14.2,83.4
2026-02-05 10:51:04.515707,20.6,83.5
2026-02-05 10:51:05.522048,6.6,83.5
2026-02-05 10:51:06.532190,2.2,83.6
2026-02-05 10:51:07.540411,9.2,83.6
2026-02-05 10:51:08.543958,2.3,83.6
2026-02-05 10:51:09.559619,2.7,83.5
2026-02-05 10:51:10.566150,6.0,83.5
2026-02-05 10:51:11.574231,2.2,83.5
2026-02-05 10:51:12.583676,3.3,83.5
2026-02-05 10:51:13.590753,1.8,83.5
2026-02-05 10:51:14.602235,11.2,83.8
2026-02-05 10:51:15.606409,24.5,84.1
2026-02-05 10:51:16.609488,20.5,84.7
2026-02-05 10:51:17.609800,17.5,84.6
2026-02-05 10:51:18.618211,18.8,84.9
2026-02-05 10:51:19.621127,19.1,84.9
2026-02-05 10:51:20.636190,23.9,85.0
2026-02-05 10:51:21.651821,23.3,85.2
2026-02-05 10:51:22.666821,20.3,85.3
2026-02-05 10:51:23.681821,21.9,85.8
2026-02-05 10:51:24.698832,20.6,86.1
2026-02-05 10:51:25.702562,20.3,85.1
2026-02-05 10:51:26.713448,21.4,85.3
2026-02-05 10:51:27.718862,22.4,85.9
2026-02-05 10:51:28.721867,29.0,86.3
2026-02-05 10:51:29.725683,29.2,86.4
2026-02-05 10:51:30.737144,16.8,86.3
2026-02-05 10:51:31.737810,22.0,85.8
2026-02-05 10:51:32.740881,13.9,85.9
2026-02-05 10:51:33.757418,22.4,86.1
2026-02-05 10:51:34.770289,20.1,86.1
2026-02-05 10:51:35.780428,25.0,86.6
2026-02-05 10:51:36.794206,18.8,86.6
2026-02-05 10:51:37.801297,16.3,86.8
2026-02-05 10:51:38.803677,23.1,86.8
2026-02-05 10:51:39.812679,26.2,86.5
2026-02-05 10:51:40.825681,48.2,86.8
2026-02-05 10:51:41.828687,22.6,86.8
2026-02-05 10:51:42.834567,20.8,86.9
2026-02-05 10:51:43.850205,29.8,87.0
2026-02-05 10:51:44.866194,21.9,86.9
2026-02-05 10:51:45.871233,21.4,86.9
2026-02-05 10:51:46.887100,20.5,86.8
2026-02-05 10:51:47.890674,21.5,86.8
2026-02-05 10:51:48.892089,23.0,87.0
2026-02-05 10:51:49.895045,28.2,86.9
2026-02-05 10:51:50.910046,23.9,86.8
2026-02-05 10:51:51.919337,17.4,86.8
2026-02-05 10:51:52.923826,26.0,87.2
2026-02-05 10:51:53.936785,23.7,86.7
2026-02-05 10:51:54.951606,13.5,86.9
2026-02-05 10:51:55.964540,15.6,87.1
